id_zdp,principio_zdp,cat_bloom_sugerida,txt_definicion,txt_desarrollo
1,Es un proceso dialéctico,Analizar,"desde esta perspectiva se intenta rescatar su naturaleza integral y contradictoria, nunca lineal.","Es un proceso de apropiación individual de la experiencia social: sus mecanismos son sumamente personales y constituyen un refl ejo de la individualidad de cada personalidad. El perfil singular de las potencialidades y deficiencias del aprendiz, sus capacidades, ritmos, preferencias, estrategias y e..."
2,Es un proceso de apropiación individual,Comprender,de la experiencia social: sus mecanismos son sumamente personales y constituyen un refl ejo de la individualidad de cada personalidad.,"El perfil singular de las potencialidades y deficiencias del aprendiz, sus capacidades, ritmos, preferencias, estrategias y estilos de aprendizaje, unidos a la historia personal, los conocimientos previos y la experiencia anterior, condicionan el carácter único e individual de los procesos que pone ..."
3,Se extiende a lo largo de toda la vida,Transversal,"es imprescindible para el crecimiento de cada individuo como personalidad; no se aprende en los años que se asiste a la escuela únicamente, sino a todo lo largo de la vida y en diferentes contextos.","Se aprende en la actividad y como resultado de ésta: aquí se enfatiza en el hecho de que el aprendizaje constituye un reflejo de la realidad por parte del sujeto, y como tal se produce en la actividad que desarrolla; expresa su carácter consciente y la participación ac tiva del sujeto en el proceso ..."
4,Se aprende en la actividad,Aplicar,No encontrado (Revisar OCR/Texto),
5,Este proceso siempre es regulado,Evaluar,sujeto a una regulación psíquica.,"En su nivel superior, el aprendizaje activo adquiere un carácter autorregulado, y descansa en el desarrollo de la responsabilidad creciente del sujeto ante sus propios procesos de aprend izaje, lo cual se expresa en el dominio paulatino de las habilidades y estrategias para aprender a aprender. Es u..."
6,Es un proceso constructivo,Crear,", donde se complementan la reestructuración y la asociación: aprender es siempre una construcción individual, por cuan to no constituye una copia pasiva de la realidad; los mecanismos de reestructuración implican poner en relación los nuevos contenidos aprendidos con los que ya se poseen, reorganiza","El aprendizaje debe ser significativo: que parta de los conocimientos, actitudes, motivaciones, intereses y experiencia previa del estudiante. De hecho los procesos motivacionales imprimen su dinámica al aprendizaje; la eficacia y calidad del aprendizaje están condicionadas por su vínculo con las ne..."
7,El aprendizaje debe ser significativo,Recordar,"que parta de los conocimientos, actitudes, motivaciones, intereses y experiencia previa del estudiante.","De hecho los procesos motivacionales imprimen su dinámica al aprendizaje; la eficacia y calidad del aprendizaje están condicionadas por su vínculo con las necesidades, motivos e intereses de los alumnos, en los cuales se apoya. Didasc@lia: Didáctica y Educación. ISSN 2224-2643 LA ZONA DE DESARROLLO ..."
8,Es un proceso mediado,Comprender,"por la existencia de otros, la cultura, el profesor, el grupo escolar, la familia, entre otros y de la actividad de comunicación.","Los maestros debemos estructurar situaciones de aprendizaje, plantear retos crecientes en un entorno cambiante y desafiante, brindar alternativas, retroalimentación y adecuados niveles de ayuda. Si el estudiante no aprende, entonces no le hemos enseñado. El papel protagónico y activo de la persona n..."
9,Es cooperativo,Aplicar,"aprender significa interactuar y comunicase con otros; la vida en el aula debe desarrollarse con prácticas sociales e intercambios académicos que induzcan a la solidaridad, la colaboración, la experimentación compartida.",Para que un apren dizaje pueda ser perdurable y placentero hay que considerar la satisfacción que provoca saber o aprender compartiendo con otros. La amistad le da un valor añadido a esta relación por el efecto enriquecedor que tiene en nuestras vidas. En el diseño del proc eso de enseñanza
10,El aprendizaje siempre es contextualizado,Analizar,No encontrado (Revisar OCR/Texto),
11,Debe ser desarrollador,Crear,"que p romueva el desarrollo integral de la personalidad del educando, garantice la unidad entre lo cognitivo y lo afectivo valorativo en el desarrollo y crecimiento personal, potencie el tránsito progresivo de la dependencia a la independencia y a la autorregula ción, y desarrolle la capacidad para ","Al respecto, es esencial el adecuado diseño, desarrollo y evaluación de las actividades (Cruz y Gamboa, 2005). Es necesario que los estudiantes sean activos protagonistas. Si para aprender solo necesitaran escuchar entonces sería muy fácil para nosotros. Nos extasiaríamos impresionándolos con nuestr..."
